"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"598","Argentinosyne gualoensis","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Coleoptera",24,23,-34.106,-44.3772
"5991","Argentinosyne rugosa","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Coleoptera",24,23,-34.106,-44.3772
"600","Argentinosyne rugosa","species","Norian","",228,208.5,-69.160004,-32.459999,-23.37,-42.41,"Coleoptera",23,21,-35.5949,-47.0191
"6012","Argentinosyne losrastrosensis","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Coleoptera",24,23,-34.106,-44.3772
"6021","Argentinosyne losrastrosensis","species","Carnian","",237,228,-67.555,-29.752001,-26.06,-35.92,"Coleoptera",24,23,-34.0196,-45.5096
"6031","Permosynidae","family","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Coleoptera",24,23,-34.106,-44.3772
"6041","Argentinocupes pulcher","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Coleoptera",24,23,-34.106,-44.3772
"6051","Argentinocupes abdalai","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Coleoptera",24,23,-34.106,-44.3772
"6061","Gemelina triangularis","species","Carnian","",237,228,-67.555,-29.752001,-26.06,-35.92,"Coleoptera",24,23,-34.0196,-45.5096
"6071","Gemelina triangularis","species","Carnian","",237,228,-69.113998,-29.080999,-27.76,-35.29,"Coleoptera",24,23,-35.7976,-43.6429
"608","Cardiosyne obesa","species","Carnian","",237,228,-67.555,-29.752001,-26.06,-35.92,"Coleoptera",24,23,-34.0196,-45.5096
"6091","Cardiosyne obesa","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Coleoptera",24,23,-34.106,-44.3772
"6111","Cardiosyne elegans","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Coleoptera",24,23,-34.106,-44.3772
"615","Coleoptera","order","Carnian","",237,228,-67.543999,-29.785,-26.04,-35.95,"Coleoptera",24,23,-34.0034,-45.542
"616","Coleoptera","order","Carnian","",237,228,-67.555,-29.752001,-26.06,-35.92,"Coleoptera",24,23,-34.0196,-45.5096
